CTR,SUMLEV,COUNTY,TRACT,BG,POP_TOTAL,HU_TOTAL,pop.0to5.yrs,pop.6to11.yrs,pop.12to17.yrs,pop.18to24.yrs,pop.25to44.yrs,pop.45to54.yrs,pop.55to64.yrs,pop.65plus,pop.65to74.yrs,pop.75plus,Composite.MOS,BG.prob,Wrkld.18to24.yrs,Wrkld.25to44.yrs,Wrkld.45to54.yrs,Wrkld.55to64.yrs,Wrkld.65plus,Total.wrkld
38,150,3,702300,4,1721,566,159,183,125,82,372,283,333,186,117,69,3.89007964,0.097251991,4.274844851,4.753466498,8.121931232,15.00578225,7.843975168,40
39,150,3,702300,5,1504,576,94,103,96,86,471,324,138,139,94,45,3.100489798,0.077512245,5.625137491,7.551210734,11.66664729,7.802282643,7.354721838,40
40,150,3,702401,1,1578,582,121,116,85,115,477,323,270,164,118,46,3.933194463,0.098329862,5.929491062,6.028356814,9.168292668,12.0334801,6.840379353,40
41,150,3,702401,2,3155,1884,8,40,145,74,145,200,347,2103,964,1139,11.25931803,0.281482951,1.332860295,0.64015023,1.983121278,5.402444171,30.64142403,40
42,150,3,702402,1,1352,563,119,48,112,116,410,273,221,73,40,33,3.12749334,0.078187333,7.521883334,6.516485799,9.745353978,12.38707535,3.829201541,40
43,150,3,702402,2,1916,954,41,62,92,63,434,370,349,436,227,209,5.209065177,0.130226629,2.452707479,4.141483429,7.930002013,11.74460824,13.73119884,40
44,150,3,702402,3,1522,818,66,112,69,36,344,262,218,442,118,324,4.10940941,0.102735235,1.776593575,4.161069997,7.117922338,9.299294072,17.64512002,40
45,150,3,702500,1,1259,426,33,132,147,150,407,225,132,174,125,49,3.186369628,0.079659241,9.546850082,6.349276576,7.883475628,7.261906896,8.958490819,40
46,150,3,702500,2,3992,1388,492,379,428,318,1212,498,222,259,161,98,6.543487382,0.163587185,9.855594991,9.207025384,8.496722576,5.947255605,6.493401443,40
47,150,3,702601,1,3167,1211,334,327,362,197,1121,489,268,202,128,74,5.759632856,0.143990821,6.936436633,9.674684298,9.478626788,8.156670011,5.75358227,40
48,150,3,702601,2,1402,541,64,132,69,40,397,255,165,173,101,72,2.840496848,0.071012421,2.855818989,6.947398091,10.02252697,10.18269022,9.991565731,40
